No;Group;Generic name;Canonical_Smiles;PubChem ID;PubMed ID
A_1;Activator;134;CC1=CC=C(C=C1)C=CC(=O)COC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O;54753446;27048379
A_2;Activator;2-(3-Pentylphenyl)acetic acid;CCCCCC1=CC(=CC=C1)CC(=O)O;24749700;30093459
A_3;Activator;Allylselenocysteine;C=CC[Se]CC(C(=O)O)N;10330667;26395119
A_4;Activator;alpha linoleic acid;CCCCCC=CCC=CCCCCCCCC(=O)O;5280450;25687616
A_5;Activator;alpha linolenic acid;CCC=CCC=CCC=CCCCCCCCC(=O)O;5280934;25687616
A_6;Activator;alpha lipoic acid;C1CSSC1CCCCC(=O)O;864;27048379
A_7;Activator;alpha tocopherol;CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C;14985;29782858
A_8;Activator;alpha-Mangostin;CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C(=C(C(=C3)O)OC)CC=C(C)C)O)C;5281650;26368128
A_9;Activator;Amarogentin;C=CC1C2CCOC(=O)C2=COC1OC3C(C(C(C(O3)CO)O)O)OC(=O)C4=C(C=C(C=C4O)O)C5=CC(=CC=C5)O;115149;31125678
A_10;Activator;Amentoflavone;C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C=CC(=C4)C5=CC(=O)C6=C(C=C(C=C6O5)O)O)O)O;5281600;29411261
A_11;Activator;Amiodarone;CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I;2157;18405894
A_12;Activator;Ampkinone;CC1(C2=C(C=CC3=C2C(=O)N(C3=O)C4=CC=C(C=C4)C(=O)C5=CC=CC=C5)C6=C(O1)C(=C(C=C6)OC)O)C;49843507;20873794
A_13;Activator;2',4'-dihydroxy-6'-methoxy-3',5'-dimethylchalcone;CC1=C(C(=C(C(=C1O)C(=O)C=CC2=CC=CC=C2)OC)C)O;10424762;26975545
A_14;Activator;Andrographolide ;CC12CCC(C(C1CCC(=C)C2CC=C3C(COC3=O)O)(C)CO)O;5318517;33124061
A_15;Activator;Ankaflavin;CCCCCCCC(=O)C1C2CC3=C(COC(=C3)C=CC)C(=O)C2(OC1=O)C;15294091;24275089
A_16;Activator;Antimycin A;CCCCCCC1C(C(OC(=O)C(C(OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)CC(C)C;14957;28233680
A_17;Activator;Apigenin;C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O;5280443;27048379
